industry,deal_value,weighted_amount,date_of_creation,pitch,lead_revenue,fund_category,geography,location,poc_name,designation,hiring_candidate_role,lead_source,level_of_meeting,last_lead_update,internal_poc,resource,internal_rating,success_probability
Other,189521.0,1061317.6,2019-01-14,Product_2,500 Million - 1 Billion,Category 2,India,Chandigarh ,geeta kumari,CEO,"Embryologist, clinical",Contact Email,Level 1,No track,"Davis,Brian R",No,2,57.3
Banks,101902.0,672553.2,2019-01-14,Product_2,50 - 100 Million,Category 1,,Mangalore,rekha,CEO,Photographer,Marketing Event,Level 3,5 days back,"Leu,Darren L",Yes,2,64.6
Biotech/Healthcare,351231.0,,2019-01-14,Product_1,500 Million - 1 Billion,Category 4,India,Alwar,payal,CEO,Call centre manager,Website,Level 1,No track,"Morsy,Omar A",Yes,1,58.900000000000006
Software,396021.0,2851351.2,2019-01-14,Product_2,500 Million - 1 Billion,Category 4,USA,"Winchester, VA-WV",Timothy Parker,CEO,"Psychologist, sport and exercise",Website,Level 3,No track,"Shelton,Sidney P",Yes,4,73.5
Banks,304161.0,1961838.45,2019-01-14,Product_2,500 Million - 1 Billion,Category 4,India,DehraDun,savita,CEO,Corporate treasurer,Website,Level 1,Up-to-date,"Houston,Arnold E",No,4,62.1
Banks,481184.0,3272051.2,2019-01-15,Product_1,100 - 500 Million,Category 1,USA,"Davenport-Moline-Rock Island, IA-IL",Jason Vazquez,CEO,"Psychotherapist, dance movement",Contact Email,Level 2,More than 2 weeks,"Abdul-Hamid,Saud Muhamad",Yes,5,71.4
Software,478863.0,3208382.1,2019-01-15,Product_2,100 - 500 Million,Category 4,India,Saidapur,pooja,SVP/General Counsel,Writer,Website,Level 3,5 days back,"Gilley,Janine",Yes,1,61.900000000000006
Financial Services,428062.0,,2019-01-15,Product_1,50 - 100 Million,Category 2,India,Alwar,kumari ranjita,CEO,Systems developer,Others,Level 3,No track,"Hanyok,John J",No,3,64.3
Banks,185180.0,1092562.0,2019-01-15,Product_2,100 - 500 Million,Category 2,USA,"Milwaukee-Waukesha-West Allis, WI",Belinda Stephenson,SVP/General Counsel,Chief Marketing Officer,Contact Email,Level 1,No track,"Davis,Sharrice A",No,3,66.1
Banks,128319.0,821241.6,2019-01-15,Product_2,50 - 100 Million,Category 3,,Pune,kusumlata,CEO,Warehouse manager,Marketing Event,Level 3,5 days back,"Abdul-Hamid,Saud Muhamad",No,3,64.8
Internet Software,261533.0,,2019-01-15,Product_1,100 - 500 Million,Category 1,,"Fond du Lac, WI",Christopher Baxter,CEO,"Engineer, control and instrumentation",Contact Email,Level 3,5 days back,"Charles,Caleb",No,2,68.8
Banks,397369.0,2662372.3,2019-01-16,Product_2,500 Million - 1 Billion,Category 1,USA,"Lewiston-Auburn, ME",Scott Miller,CEO,Speech and language therapist,Contact Email,Level 2,No track,"Green,Candy",Yes,4,70.7
Biotech/Healthcare,283180.0,1755716.0,2019-01-16,Product_2,50 - 100 Million,Category 1,India,Hapur,rakhi,SVP/General Counsel,Clothing/textile technologist,Website,Level 1,Up-to-date,"Logan,Kevin N",Yes,3,63.7
Water Utilities,242256.0,1707904.8,2019-01-16,Product_2,500 Million - 1 Billion,Category 1,,"Shreveport-Bossier City, LA",Nicholas Kaiser,SVP/General Counsel,"Engineer, automotive",Marketing Event,Level 3,No track,"Robinson,John C",,1,73.5
Education/Training,376724.0,,2019-01-16,Product_2,500 Million - 1 Billion,Category 4,,"Harrisonburg, VA",Christina Roach,SVP/General Counsel,"Designer, fashion/clothing",Others,Level 2,,"Featherstone,Adrian R",No,2,65.3
Hotels/Motels,107353.0,772941.6,2019-01-16,Product_1,50 - 100 Million,Category 1,USA,"Lexington-Fayette, KY",Scott Davis,CEO,IT consultant,Marketing Event,Level 3,Up-to-date,"Maine,John P",No,5,76.9
Recreational Products,279772.0,1762563.6,2019-01-16,Product_1,50 - 100 Million,Category 2,USA,"Alexandria, LA",Erica Lee,CEO,Counselling psychologist,Marketing Event,Level 3,No track,"Gilley,Janine",Yes,2,70.1
Food Processing,351785.0,2181067.0,2019-01-16,Product_2,100 - 500 Million,Category 3,,"Muncie, IN",Dustin Bailey,CEO,Equality and diversity officer,Marketing Event,Level 1,,"Abdul-Hamid,Saud Muhamad",No,3,107.34
Banks,219525.0,1229340.0,2019-01-16,Product_2,50 - 100 Million,Category 3,India,Nanded,arti,SVP/General Counsel,"Conservator, furniture",Website,Level 1,No track,"Turner,Marlon D",Yes,2,57.5
Healthcare Facilities/Services,287841.0,,2019-01-17,Product_2,100 - 500 Million,Category 2,India,Hubli,ruchi,CEO,Interior and spatial designer,Others,Level 1,5 days back,"Charles,Caleb",No,3,60.400000000000006
Banks,173287.0,1135029.85,2019-01-17,Product_2,500 Million - 1 Billion,Category 2,,"Pittsfield, MA",Donald Peterson,CEO,Chief Strategy Officer,Website,Level 2,No track,"Cash,Tyrone J",No,5,74.9
Technology Consulting,327381.0,1964286.0,2019-01-17,Product_1,50 - 100 Million,Category 3,India,Muzaffarnagar,santoshi kumari,CEO,Legal secretary,Website,Level 1,No track,"Brown,Maxine A",No,5,62.8
Property/Casualty,115171.0,685267.45,2019-01-17,Product_2,100 - 500 Million,Category 3,India,Daman,girija rani,CEO,"Engineer, maintenance",Others,Level 3,,"Knox,Antonio D",Yes,1,60.1
Associations,152347.0,,2019-01-17,Product_1,100 - 500 Million,Category 4,USA,"Dubuque, IA",Corey Smith,CEO,Haematologist,Contact Email,Level 2,No track,"Anthony,Katherine D",No,4,65.8
Associations,464723.0,2695393.4,2019-01-17,Product_1,500 Million - 1 Billion,Category 2,USA,"Saginaw, MI",Jenny Thomas,CEO,Sports coach,Others,Level 2,More than 2 weeks,"Clavey,Therese A",Yes,2,67.3
Food Processing,376634.0,2259804.0,2019-01-17,Product_2,500 Million - 1 Billion,Category 2,India,Panipat,mantasha,SVP/General Counsel,Archaeologist,Marketing Event,Level 2,?,"Robinson,John C",Yes,1,62.3
Associations,372760.0,2385664.0,2019-01-17,Product_1,100 - 500 Million,Category 1,India,Mangalore,garima,CEO,Social researcher,Contact Email,Level 1,No track,"Featherstone,Adrian R",,5,26.35
Telecom Hardware,93662.0,585387.5,2019-01-17,Product_1,50 - 100 Million,Category 2,India,Puri,khusbu,SVP/General Counsel,Chief Strategy Officer,Website,Level 3,Up-to-date,"Dunaway,Antoine",No,4,66.6
Banks,424642.0,2802637.2,2019-01-17,Product_2,100 - 500 Million,Category 1,USA,"Indianapolis-Carmel-Anderson, IN",Jessica Wagner,SVP/General Counsel,Solicitor,Marketing Event,Level 2,No track,"Himes,Maurice C",Yes,2,69.4
Investment Bank/Brokerage,27060.0,173184.0,2019-01-17,Product_1,100 - 500 Million,Category 1,,Bhusaval,manisha,CEO,"Optician, dispensing",Marketing Event,Level 1,No track,"Meli,Teresa V",Yes,5,63.0
Medical Equipment,350036.0,2065212.4,2019-01-18,Product_1,50 - 100 Million,Category 2,India,Panipat,ritu,CEO,Quality manager,Website,Level 1,5 days back,"Turner,Marlon D",Yes,5,64.3
Healthcare Facilities/Services,320615.0,2051936.0,2019-01-18,Product_1,100 - 500 Million,Category 4,India,Samlaipadar,fareen,CEO,"Engineer, electronics",Marketing Event,Level 2,No track,"Hanyok,John J",No,1,26.35
REIT,82174.0,525913.6,2019-01-18,Product_2,50 - 100 Million,Category 1,USA,"Des Moines-West Des Moines, IA",Christina Rodriguez,CEO,"Administrator, sports",Website,Level 1,?,"Hanyok,John J",No,3,70.7
ISPs,306123.0,1714288.8,2019-01-18,Product_1,500 Million - 1 Billion,Category 2,USA,"Pueblo, CO",Jeffrey Floyd,CEO,"Engineer, maintenance (IT)",Others,Level 1,More than a week back,"Shelton,Sidney P",No,1,65.6
eCommerce,474237.0,3082540.5,2019-01-18,Product_1,500 Million - 1 Billion,Category 4,USA,"Racine, WI",Daniel Diaz,CEO,"Scientist, forensic",Contact Email,Level 2,more than a month,"Gilley,Janine",No,1,64.0
Financial Services,67527.0,388280.25,2019-01-18,Product_1,50 - 100 Million,Category 1,India,Gopalpur,manju,CEO,Meteorologist,Others,Level 1,No track,"Leu,Darren L",No,4,59.400000000000006
Banks,387742.0,2520323.0,2019-01-18,Product_1,500 Million - 1 Billion,Category 1,USA,"Gettysburg, PA",Ashley Reyes,SVP/General Counsel,Scientific laboratory technician,Others,Level 2,More than 2 weeks,"Tondeur,Keith D",No,4,72.0
Non-Profit,350519.0,2103114.0,2019-01-19,Product_1,50 - 100 Million,Category 3,USA,"Wenatchee, WA",Grace Taylor,CEO,Publishing copy,Website,Level 1,2 days back,"Tondeur,Keith D",No,3,107.34
Other,302850.0,1892812.5,2019-01-19,Product_1,50 - 100 Million,Category 2,,Aligarh,priya,SVP/General Counsel,"Editor, commissioning",Website,Level 3,more than a month,"Cash,Tyrone J",No,4,66.6
Apparel Retail,477978.0,2772272.4,2019-01-19,Product_1,100 - 500 Million,Category 3,India,Gwalior,farhanaaz,CEO,Arboriculturist,Contact Email,Level 1,More than a week back,"Maine,John P",No,4,57.6
Education/Training,76345.0,419897.5,2019-01-19,Product_2,100 - 500 Million,Category 2,USA,"Panama City, FL",Alyssa Bush,CEO,Theatre stage manager,Others,Level 1,more than a month,"Dunaway,Antoine",No,2,107.34
Auto Parts/Services,486515.0,3186673.25,2019-01-19,Product_2,100 - 500 Million,Category 3,USA,"Las Cruces, NM",Thomas Stephenson,CEO,Research scientist (life sciences),Others,Level 3,No track,"Irizarry,Yolanda",No,5,72.4
Banks,373346.0,2538752.8,2019-01-19,Product_2,50 - 100 Million,Category 1,USA,"Bismarck, ND",Jesse Klein,CEO,Geoscientist,Website,Level 2,No track,"Meli,Teresa V",Yes,5,74.5
Hospitals/Clinics,35033.0,227714.5,2019-01-19,Product_2,500 Million - 1 Billion,Category 1,India,Patna,shipra,SVP/General Counsel,Chartered certified accountant,Marketing Event,Level 1,Up-to-date,"Houston,Arnold E",No,5,64.4
Other Consulting,141538.0,884612.5,2019-01-19,Product_2,100 - 500 Million,Category 2,USA,"Evansville, IN-KY",Brittney Wilkins,CEO,Diplomatic Services operational officer,Website,Level 1,5 days back,"Moran,Natalie A",Yes,5,107.34
Financial Services,374119.0,2506597.3,2019-01-19,Product_2,100 - 500 Million,Category 3,USA,"Atlanta-Sandy Springs-Roswell, GA",Samuel Madden,SVP/General Counsel,Chartered public finance accountant,Website,Level 3,5 days back,"Irizarry,Yolanda",Yes,3,72.6
Financial Services,8757.0,54293.4,2019-01-19,Product_2,50 - 100 Million,Category 1,USA,"Dover, DE",Matthew Bryant,CEO,Advertising account executive,Website,Level 2,more than a month,"Ryker,David",Yes,2,66.2
Non-Profit,230276.0,1427711.2,2019-01-19,Product_1,50 - 100 Million,Category 1,India,Ramagundam,sufiya,CEO,Geoscientist,Others,Level 3,More than a week back,"Green,Candy",No,2,62.6
Lending/Mortgage,234285.0,1546281.0,2019-01-19,Product_2,100 - 500 Million,Category 4,USA,"York-Hanover, PA",James Little,CEO,"Social research officer, government",Others,Level 2,No track,"Young,Valerie K",No,5,69.2
Iron/Steel,360230.0,2179391.5,2019-01-20,Product_1,50 - 100 Million,Category 3,India,Pathankot,smt renu,CEO,Geographical information systems officer,Marketing Event,Level 2,5 days back,"Green,Candy",No,3,62.1
Insurance,116228.0,778727.6,2019-01-20,Product_2,500 Million - 1 Billion,Category 4,USA,"Salem, OR",Mr. Ryan Davis,CEO,"Psychologist, forensic",Marketing Event,Level 1,No track,"Meli,Teresa V",Yes,3,68.8
Banks,144723.0,904518.75,2019-01-20,Product_1,500 Million - 1 Billion,Category 1,India,Haripur,unknown,CEO,"Programme researcher, broadcasting/film/video",Website,Level 1,2 days back,"Smith,Keenan H",Yes,1,62.400000000000006
Other,303720.0,1761576.0,2019-01-20,Product_2,100 - 500 Million,Category 3,,"Jacksonville, NC",Thomas Hess,SVP/General Counsel,"Programmer, multimedia",Others,Level 1,,"Booker,David L",Yes,4,65.9
Shipping,194785.0,1305059.5,2019-01-20,Product_2,500 Million - 1 Billion,Category 1,USA,"San Diego-Carlsbad, CA",Henry Hernandez,SVP/General Counsel,Land,Others,Level 2,More than a week back,"Green,Candy",No,5,107.34
Other Investment Firms,313373.0,,2019-01-20,Product_1,100 - 500 Million,Category 4,USA,"Shreveport-Bossier City, LA",Mary Hunt,CEO,Barrister's clerk,Website,Level 2,More than a week back,"Houston,Arnold E",Yes,4,69.4
Entertainment/Media,227925.0,1321965.0,2019-01-21,Product_2,500 Million - 1 Billion,Category 2,USA,"Minneapolis-St. Paul-Bloomington, MN-WI",Jeffrey Hawkins,SVP/General Counsel,"Accountant, chartered management",Others,Level 2,Up-to-date,"Davis,Brian R",Yes,1,-5.0
Electric Utilities,402448.0,2656156.8,2019-01-21,Product_2,50 - 100 Million,Category 4,India,Amritsar,seema devi,CEO,"Surveyor, minerals",Website,Level 2,5 days back,"Jones,Eyvette W",Yes,5,64.0
Investment Bank/Brokerage,122503.0,698267.1,2019-01-21,Product_2,50 - 100 Million,Category 2,,"Gadsden, AL",William Kramer,CEO,Emergency planning/management officer,Website,Level 1,?,"Green,Candy",No,1,66.0
Healthcare Facilities/Services,16734.0,102914.1,2019-01-21,Product_1,100 - 500 Million,Category 1,India,Guntur,smt shiya,CEO,"Surveyor, commercial/residential",Website,Level 1,No track,"Rocks,Michael J",Yes,4,61.2
Other Consulting,176259.0,1128057.6,2019-01-21,Product_2,50 - 100 Million,Category 1,,Bhusaval,minakshi,CEO,Prison officer,Website,Level 2,Up-to-date,"Bannister,Joan",Yes,3,65.4
Apparel Products,106395.0,611771.25,2019-01-21,Product_1,50 - 100 Million,Category 2,,Patiala,माया,CEO,"Surveyor, rural practice",Contact Email,Level 2,No track,"Moran,Natalie A",Yes,4,26.35
Banks,320859.0,1925154.0,2019-01-21,Product_1,100 - 500 Million,Category 3,India,Tonk,vimala,CEO,"Engineer, production",Marketing Event,Level 1,Up-to-date,"Houston,Arnold E",Yes,3,60.900000000000006
Banks,405506.0,2777716.1,2019-01-21,Product_1,500 Million - 1 Billion,Category 1,India,Hyderabad,pooja,CEO,Garment/textile technologist,Others,Level 3,?,"Georgakopoulos,Vasilios T",No,5,69.8
Investment Bank/Brokerage,366233.0,2179086.35,2019-01-21,Product_2,50 - 100 Million,Category 2,India,Rajkot,sunita,CEO,"Psychologist, occupational",Marketing Event,Level 2,No track,"Ullrich,Rose Anne",Yes,3,63.6
Personal Services,206207.0,1237242.0,2019-01-21,Product_1,500 Million - 1 Billion,Category 2,,"Minneapolis-St. Paul-Bloomington, MN-WI",Christian Hodges,CEO,Rural practice surveyor,Marketing Event,Level 1,?,"Leu,Darren L",No,1,107.34
Construction Services,214219.0,1338868.75,2019-01-21,Product_2,500 Million - 1 Billion,Category 3,India,Chennai,sahil,CEO,"Civil engineer, consulting",Website,Level 2,No track,"Pappas,Mark S",No,3,64.3
Government,32279.0,211427.45,2019-01-21,Product_2,50 - 100 Million,Category 4,USA,"Norwich-New London, CT",Stephen Clark,SVP/General Counsel,"Engineer, civil (consulting)",Website,Level 3,Up-to-date,"Massiah,Gerard F",No,2,65.4
Hotels/Motels,270054.0,1863372.6,2019-01-22,Product_2,500 Million - 1 Billion,Category 2,USA,"Gettysburg, PA",Ryan Buchanan,CEO,Senior tax professional/tax inspector,Website,Level 3,Up-to-date,"Ali,Mohamed",No,5,107.34
Other,117839.0,712925.95,2019-01-22,Product_1,50 - 100 Million,Category 4,USA,"Waterloo-Cedar Falls, IA",Evelyn Curtis,CEO,"Exhibitions officer, museum/gallery",Others,Level 2,No track,"Van Arter,Derrick",Yes,2,63.400000000000006
Healthcare Facilities/Services,352912.0,1958661.6,2019-01-22,Product_1,50 - 100 Million,Category 2,India,Bulandshahr,radhika,SVP/General Counsel,Dispensing optician,Contact Email,Level 1,,"Shelton,Sidney P",No,3,58.6
Electric Utilities,220196.0,1288146.6,2019-01-22,Product_1,50 - 100 Million,Category 3,India,DehraDun,ku. fatma,SVP/General Counsel,Occupational hygienist,Marketing Event,Level 2,2 days back,"Ali,Mohamed",Yes,2,58.900000000000006
Banks,311556.0,1962802.8,2019-01-22,Product_2,50 - 100 Million,Category 2,India,Kohima,kanchan chaudhary,CEO,"Accountant, chartered management",Marketing Event,Level 3,No track,"Thomas,Lori E",Yes,3,66.3
Utilities,57539.0,356741.8,2019-01-22,Product_1,500 Million - 1 Billion,Category 4,USA,"Grand Island, NE",Melissa Day,SVP/General Counsel,"Civil engineer, contracting",Others,Level 2,No track,"Maine,John P",Yes,2,63.3
Services,121962.0,804949.2,2019-01-22,Product_2,50 - 100 Million,Category 4,,"North Port-Sarasota-Bradenton, FL",Kent Ellis,CEO,Quantity surveyor,Others,Level 3,5 days back,"Dunaway,Antoine",Yes,4,69.3
Banks,387068.0,2535295.4,2019-01-22,Product_1,50 - 100 Million,Category 3,USA,"Ogden-Clearfield, UT",Zachary Parker,CEO,Materials engineer,Website,Level 3,No track,"Cash,Tyrone J",Yes,4,72.1
Furniture/Fixtures,102498.0,727735.8,2019-01-22,Product_1,100 - 500 Million,Category 1,USA,"The Villages, FL",David Weber,SVP/General Counsel,Building surveyor,Website,Level 3,No track,"Young,Valerie K",No,4,75.6
Construction Services,472277.0,3069800.5,2019-01-22,Product_2,500 Million - 1 Billion,Category 4,,Port Blair,jasbir kaur,SVP/General Counsel,Paediatric nurse,Marketing Event,Level 2,More than 2 weeks,"Cashin,Marc C",Yes,1,60.3
Other Biz Services,75410.0,475083.0,2019-01-22,Product_1,500 Million - 1 Billion,Category 1,USA,"Valdosta, GA",Douglas Montgomery,SVP/General Counsel,"Conservator, museum/gallery",Contact Email,Level 1,,"Smith,Keenan H",No,2,65.8
Apparel Retail,364609.0,2278806.25,2019-01-22,Product_1,50 - 100 Million,Category 2,India,Nagercoil,radha,SVP/General Counsel,Homeopath,Website,Level 3,No track,"Ali,Mohamed",No,4,66.6
Financial Services,429165.0,,2019-01-22,Product_2,500 Million - 1 Billion,Category 2,India,Firozabad,usha sharma,CEO,Air broker,Contact Email,Level 1,,"Knox,Antonio D",No,1,57.3
Wood/Paper,256279.0,1409534.5,2019-01-22,Product_2,100 - 500 Million,Category 2,India,Bellary,khushbu,CEO,"Surveyor, insurance",Others,Level 1,More than a week back,"Robinson,John C",Yes,4,60.400000000000006
Sales/Marketing Services,84596.0,571023.0,2019-01-22,Product_1,100 - 500 Million,Category 3,USA,"Auburn-Opelika, AL",Mary Owens,CEO,Actuary,Contact Email,Level 3,Up-to-date,"Ullrich,Rose Anne",No,5,26.35
Banks,243849.0,1743520.35,2019-01-22,Product_2,50 - 100 Million,Category 4,USA,"Brownsville-Harlingen, TX",Thomas George,CEO,Information officer,Website,Level 3,,"Anthony,Katherine D",Yes,5,73.7
"Oil, Gas, Coal",281007.0,1700092.35,2019-01-22,Product_2,50 - 100 Million,Category 4,,"Monroe, LA",Manuel Parker,SVP/General Counsel,"Nurse, children's",Others,Level 2,5 days back,"Ross,Eric L",No,1,63.400000000000006
Banks,241329.0,1544505.6,2019-01-22,Product_1,50 - 100 Million,Category 1,India,Bulandshahr,sayna parveen,CEO,"Engineer, land",Contact Email,Level 3,More than a week back,"Moran,Natalie A",No,1,61.3
Food Processing,265569.0,1566857.1,2019-01-23,Product_2,100 - 500 Million,Category 2,USA,"La Crosse-Onalaska, WI-MN",Chelsea Johnson,CEO,Occupational therapist,Others,Level 2,No track,"Carter Sr,Clifton E",No,3,69.1
Banks,428415.0,3063167.25,2019-01-23,Product_2,100 - 500 Million,Category 1,India,Mahabubnagar,neha,CEO,Exhibition designer,Marketing Event,Level 3,,"Abdul-Hamid,Saud Muhamad",Yes,5,70.4
Financial Services,323737.0,1974795.7,2019-01-23,Product_1,500 Million - 1 Billion,Category 3,India,Gurugram,smt. neeraj,SVP/General Counsel,Customer service manager,Contact Email,Level 1,more than a month,"Shelton,Sidney P",No,5,61.1
Specialty,13378.0,76923.5,2019-01-23,Product_1,500 Million - 1 Billion,Category 2,India,Barddhaman,priyanka,CEO,"Engineer, petroleum",Website,Level 1,No track,"Turner,Marlon D",No,4,107.34
Entertainment/Media,87008.0,565552.0,2019-01-23,Product_2,500 Million - 1 Billion,Category 4,,"Las Cruces, NM",Devin Salazar,CEO,Meteorologist,Marketing Event,Level 1,,"Sutton,Michelle R",No,2,26.35
Banks,450167.0,2836052.1,2019-01-23,Product_1,50 - 100 Million,Category 2,,"Springfield, OH",Oscar Smith,CEO,Advertising account executive,Contact Email,Level 3,more than a month,"Green,Ann E",No,4,70.0
BioTech/Drugs,85117.0,536237.1,2019-01-23,Product_2,500 Million - 1 Billion,Category 1,India,Ujjain,saroj,SVP/General Counsel,Solicitor,Others,Level 1,,"Booker,David L",Yes,5,65.4
Banks,235226.0,1564252.9,2019-01-24,Product_1,50 - 100 Million,Category 4,USA,"Santa Maria-Santa Barbara, CA",Jason Wright,SVP/General Counsel,"Clinical scientist, histocompatibility and immunogenetics",Marketing Event,Level 2,Up-to-date,"Brown,Maxine A",No,3,68.6
Medical Equipment,156714.0,901105.5,2019-01-24,Product_2,50 - 100 Million,Category 2,USA,"Yuba City, CA",Kristina Newton,CEO,"Production designer, theatre/television/film",Contact Email,Level 1,Up-to-date,"Morsy,Omar A",No,3,65.6
